Країна;1;2;3;4;5;6;7;8;9;10;11;12
Австралія;17800;15;8;7,3;1,9;16848;2,3;85;100;1,38;74;80
Австрія;8000;12;11;6,7;1,5;18396;94;58;99;0,2;73;79
Аргентина;33900;20;9;25,6;2,8;3408;12;86;95;1,3;68;75
Бангладеш;125000;35;11;106;4,7;202;800;16;35;2,4;53;53
Бельгія;10100;12;11;7,2;1,7;17912;329;96;99;0,2;73;79
Білорусь;10300;13;11;19;1,88;6500;50;65;99;0,32;66;76
Бразилія;156600;21;9;66;2,7;2354;18;75;81;1,28;57;67
Буркіна-Фасо;10000;47;18;118;6,94;357;36;15;18;2,81;47;50
Велика Британія;58400;13;11;7,2;1,83;15974;237;89;99;0,2;74;80
В'єтнам;73100;27;8;46;3,33;230;218;20;88;1,78;63;68
Гаїті;6500;40;19;109;5,94;383;231;29;53;1,63;43;47
Гондурас;5600;35;6;45;4,9;1030;46;44;73;2,73;65;70
Гонконг;5800;13;6;5,8;1,4;14641;5494;94;77;-0,09;75;80
Ефіопія;55200;45;14;110;6,81;122;47;12;24;3,1;51;54
Єгипет;60000;29;9;76,4;3,77;748;57;44;48;1,95;60;63
Замбія;9100;46;18;85;6,68;573;11;42;73;2,8;44;45
Індія;911600;29;10;79;4,48;275;283;26;52;1,9;58;59
Ірландія;3600;14;9;7,4;1,99;12170;51;57;98;0,3;73;78
Іспанія;39200;11;9;6,9;1,4;13047;77;78;95;0,25;74;81
Італія;58100;11;10;7,6;1,3;17500;188;69;97;0,21;74;81
Канада;29100;14;8;6,8;1,8;19904;2,8;77;97;0,7;74;81
Китай;1205200;21;7;52;1,84;377;124;26;78;1,1;67;69
Колумбія;35600;24;6;28;2,47;1538;31;70;87;2;69;75
Коста-Рика;3300;26;4;11;3,1;2031;64;47;93;2,3;76;79
Куба;11100;17;7;10,2;1,9;1382;99;74;94;0,95;74;78
Малайзія;19500;29;5;25,6;3,51;2995;58;43;78;2,3;66;72
Марокко;28600;29;6;50;3,83;1062;63;46;50;2,12;66;70
Мексика;91800;28;5;35;3,2;3604;46;73;87;1,9;69;77
Нідерланди;15400;13;9;6,3;1,58;17245;366;89;99;0,58;75;81
Німеччина;81200;11;11;6,5;1,47;17539;227;85;99;0,36;73;79
Нова Зеландія;3524;16;8;8,9;2,03;14381;13;84;99;0,57;73;80
Норвегія;4300;13;10;6,3;2;17755;11;75;99;0,4;74;81
ОАЕ;2800;28;3;22;4,5;14193;32;81;68;4,8;70;74
ПАР;43900;34;8;47,1;4,37;3128;35;49;76;2,6;62;68
Південна Корея;45000;16;6;21,7;1,65;6627;447;72;96;1;68;74
Північна Корея;23100;24;6;27,7;2,4;1000;189;60;99;1,83;67;73
Польща;38600;14;10;13,8;1,94;4429;123;62;99;0,3;69;77
Португалія;10500;12;10;9,2;1,5;9000;108;34;85;0,36;71;78
Росія;149200;13;11;27;1,83;6680;8,8;74;99;0,2;64;74
Саудівська Аравія;18000;38;6;52;6,67;6651;7,7;77;62;3,2;66;70
Сінгапур;2900;16;6;5,7;1,88;14990;4456;100;88;1,2;73;79
США;260800;15;9;8,11;2,06;23474;26;75;97;0,99;73;79
Таіланд;59400;19;6;37;2,1;1800;115;22;93;1,4;65;72
Туреччина;62200;26;6;49;3,21;3721;79;61;81;2,02;69;73
Україна;51800;12;13;20,7;1,82;2340;87;67;97;0,05;65;75
Філіппіни;69800;27;7;51;3,35;867;221;43;90;1,92;63;68
Фінляндія;5100;13;10;5,3;1,8;15877;39;60;100;0,3;72;80
Франція;58000;13;9;6,7;1,8;18944;105;73;99;0,47;74;82
Чилі;14000;23;6;14,6;2,5;2591;18;85;93;1,7;71;78
Швейцарія;7000;12;9;6,2;1,6;22384;170;62;99;0,7;75;82
Швеція;8800;14;11;5,7;2,1;16900;19;84;99;0,52;75;81
Японія;125500;11;7;4,4;1,55;19860;330;77;99;0,3;76;82
